name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,image
AMD Ryzen 7 5700G,174.97,8,3.8,4.6,Zen 3,65,Radeon Vega 8,https://cdna.pcpartpicker.com/static/forever/images/product/f599944d7bed683e57062447764ce9d9.256p.jpg
AMD Ryzen 9 5950X,274.99,16,3.4,4.9,Zen 3,105,,https://cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg
AMD Ryzen 7 5800X3D,704.86,8,3.4,4.5,Zen 3,105,,https://cdna.pcpartpicker.com/static/forever/images/product/f83c6c4ee8cb5a6801f35aae5fc5d018.256p.jpg
Intel Core i3-12100F,79.45,4,3.3,4.3,Alder Lake,58,,https://cdna.pcpartpicker.com/static/forever/images/product/c67d8f42c0e57b268f068172e9a3f571.256p.jpg
AMD Ryzen 9 7950X,449.96,16,4.5,5.7,Zen 4,170,Radeon,https://cdna.pcpartpicker.com/static/forever/images/product/4f8b13807b9b9e2ab921ddb6e6e81afb.256p.jpg
Intel Core i5-14600KF,197.98,14,3.5,5.3,Raptor Lake Refresh,125,,https://cdna.pcpartpicker.com/static/forever/images/product/c8f65245aff45313f03aaad255078883.256p.jpg
AMD Ryzen 5 4500,78.38,6,3.6,4.1,Zen 2,65,,https://cdna.pcpartpicker.com/static/forever/images/product/e1f3bf613a5651db6f394c8dd41f0f15.256p.jpg
AMD Ryzen 5 8600G,224.83,6,4.3,5.0,Zen 4,65,Radeon 760M,https://cdna.pcpartpicker.com/static/forever/images/product/d5ae2e9f000a9c994f70e092b05c80ef.256p.jpg
AMD Ryzen 7 5700,134.96,8,3.7,4.6,Zen 3,65,,https://cdna.pcpartpicker.com/static/forever/images/product/a0931f2db7bb9c37a199429c85a0d2e1.256p.jpg
Intel Core i7-14700KF,313.95,20,3.4,5.6,Raptor Lake Refresh,125,,https://cdna.pcpartpicker.com/static/forever/images/product/92061d6108d4c4bf0deb77943506df11.256p.jpg
Intel Core i9-12900K,285.99,16,3.2,5.2,Alder Lake,125,Intel UHD Graphics 770,https://cdna.pcpartpicker.com/static/forever/images/product/b9d3c68bbf713cdd1211f3792040ce95.256p.jpg
Intel Core Ultra 7 265KF,277.44,20,3.9,5.5,Arrow Lake,125,,https://cdna.pcpartpicker.com/static/forever/images/product/fcf1376b4011b81307f2eb83fb68d582.256p.jpg
