name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,image
TEAMGROUP T-Create Expert 32 GB,62.99,"4,3200","2,16",1.968,Gray,10.0,16,https://m.media-amazon.com/images/I/41Q6UMps9NL.jpg
Silicon Power XPOWER Pulse Gaming 32 GB,84.99,"5,6400","2,16",2.656,Black,10.0,32,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Corsair Dominator Titanium 96 GB,427.99,"5,7000","2,48",4.458,Black,11.429,40,https://cdna.pcpartpicker.com/static/forever/images/product/5043343aefe3ad5ed4f2c1ca6df1842c.256p.jpg
Corsair Vengeance LPX 16 GB,91.99,"4,3600","2,8",5.749,Black,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/835ab3efad1be13bbe53beef3e3c6f96.256p.jpg
Lexar THOR 32 GB,,"4,3200","2,16",,Black,10.0,16,https://m.media-amazon.com/images/I/31+5mRN1Q4L.jpg
Corsair Vengeance RGB Pro 16 GB,97.91,"4,3200","2,8",6.119,White,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/87cd8e9d02ffb0997769f4a4d5969669.256p.jpg
Patriot Viper Venom 16 GB,52.99,"5,5200","2,8",3.312,Black / White,13.846,36,https://cdna.pcpartpicker.com/static/forever/images/product/766c18ad6210bf330ebd5708e6d6081b.256p.jpg
G.Skill Trident Z5 Royal 64 GB,259.99,"5,6400","2,32",4.062,Silver,10.0,32,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Crucial Pro 64 GB,125.99,"4,3200","2,32",1.969,Black / Green,13.75,22,https://cdna.pcpartpicker.com/static/forever/images/product/332fe880e8def29585f15f72927e21a2.256p.jpg
Corsair Dominator Titanium 96 GB,419.99,"5,6600","2,48",4.375,White,9.697,32,https://cdna.pcpartpicker.com/static/forever/images/product/5043343aefe3ad5ed4f2c1ca6df1842c.256p.jpg
ADATA XPG Lancer Blade RGB 32 GB,134.99,"5,6000","2,16",4.218,Black,10.0,30,https://m.media-amazon.com/images/I/41U7Rp5izRL.jpg
Corsair Vengeance RGB 128 GB,389.99,"5,6400","2,64",,Black,13.125,42,https://cdna.pcpartpicker.com/static/forever/images/product/ef3ced8a8c3b89a50ac43076f6ed0a0f.256p.jpg
Corsair Vengeance RGB 32 GB,144.99,"5,6000","2,16",4.531,White / Silver,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Patriot Signature Line 32 GB,71.98,"5,4800","2,16",2.249,Black,16.667,40,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Crucial CT2K16G48C40U5 32 GB,73.98,"5,4800","2,16",2.312,Black,16.667,40,https://cdna.pcpartpicker.com/static/forever/images/product/da4cecff7e3ebe77a577561a19a2d1c7.256p.jpg
G.Skill Trident Z5 Neo RGB 96 GB,414.99,"5,6000","2,48",4.323,Black,9.333,28,https://cdna.pcpartpicker.com/static/forever/images/product/fa05a92bf5e27cd0ba94bb8372db2419.256p.jpg
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"5,6000","2,16",2.812,White,12.667,38,https://cdna.pcpartpicker.com/static/forever/images/product/09e373465295e5629efd7959a7147a3b.256p.jpg
Crucial Pro Overclocking 64 GB,199.99,"5,6400","2,32",3.125,Black,12.5,40,https://m.media-amazon.com/images/I/31AwNo-gfkL.jpg
G.Skill Trident Z5 Neo RGB 64 GB,254.99,"5,6000","2,32",3.984,Black,9.333,28,https://cdna.pcpartpicker.com/static/forever/images/product/fa05a92bf5e27cd0ba94bb8372db2419.256p.jpg
Corsair Vengeance RGB Pro 32 GB,82.99,"4,3200","2,16",2.593,Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/5f09867b54e9ad932b4dd1bc767f6238.256p.jpg
