name,price,chipset,memory,core_clock,boost_clock,color,length,image
Asus PRIME,609.99,GeForce RTX 5070,12,2160,,Black / White,306,https://cdna.pcpartpicker.com/static/forever/images/product/43191ac360269737064e20b57d60c9b6.256p.jpg
Gigabyte GAMING OC,2809.36,GeForce RTX 5090,32,2010,2550.0,Black,342,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
MSI GAMING TRIO OC WHITE,954.13,GeForce RTX 5070,12,2160,,White,338,https://cdna.pcpartpicker.com/static/forever/images/product/79c9173b16ead8d74cd35005fcb21743.256p.jpg
Asus PRIME,299.99,GeForce RTX 5060,8,2280,2527.0,Black,268,https://cdna.pcpartpicker.com/static/forever/images/product/43191ac360269737064e20b57d60c9b6.256p.jpg
MSI VENTUS 3X OC PLUS,1599.99,GeForce RTX 5080,16,2300,,Silver / Black,303,https://cdna.pcpartpicker.com/static/forever/images/product/afeb9821bbd98862e734a81fbee20865.256p.jpg
Asus TUF GAMING OC,604.99,GeForce RTX 5070,12,2160,,Black / Silver,329,https://cdna.pcpartpicker.com/static/forever/images/product/a9f549d5905f54cf6f3e43c9a38643d5.256p.jpg
Gigabyte AERO OC SFF,1579.99,GeForce RTX 5080,16,2300,,White / Silver,304,https://cdna.pcpartpicker.com/static/forever/images/product/81715ed28e3aae88fb103d7232adcc9f.256p.jpg
XFX Speedster MERC 310,996.87,Radeon RX 7900 XT,20,2000,2535.0,Black / Silver,344,https://cdna.pcpartpicker.com/static/forever/images/product/4b6e1666bdde2d084cb87b98ba5d8b30.256p.jpg
ASRock Challenger,318.42,Radeon RX 6600,8,1626,2491.0,White,269,https://cdna.pcpartpicker.com/static/forever/images/product/f016a332e2c52da6b3bc42013e651566.256p.jpg
Gigabyte GAMING OC,469.99,GeForce RTX 5060 Ti,16,2410,2647.0,Black,281,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
Gigabyte WINDFORCE OC,429.99,GeForce RTX 4060,8,1830,,Black,192,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg
Gigabyte AORUS MASTER,2999.99,GeForce RTX 5090,32,2010,2655.0,Black,360,https://cdna.pcpartpicker.com/static/forever/images/product/3b48514507cb494a63445b44ad4592ec.256p.jpg
Gigabyte GAMING OC,669.99,Radeon RX 9070,16,2070,2700.0,Black,288,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
Gigabyte GAMING OC,,Radeon RX 7700 XT,12,1700,2599.0,Black,302,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
Asus TUF GAMING,2759.99,GeForce RTX 5090,32,2010,,Black / Silver,348,https://cdna.pcpartpicker.com/static/forever/images/product/a9f549d5905f54cf6f3e43c9a38643d5.256p.jpg
